"Rec No","Vesid","Vescode","Vesname","Vesowner","Vesmaxgrt","Vesmaxnrt","Veslength","Vesmaxdraught","Vesmaxbeam","Vesoperator","Vesregcity","Veslloydnumber","Vesshpconf","Vesbowthrust","Vesnationality","Vesdatebuilt","Vescallsign","Vesofficalnumber"
109,71,"          ","VEGA ZETA 2                                       ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9336347             ","                         ",0,"                              ",0,"                    ","                    "
111,73,"          ","DOVER STRAIT 5                                    ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9236597             ","                         ",0,"                              ",0,"                    ","                    "
112,74,"          ","NEFELI 2                                          ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9491628             ","                         ",0,"                              ",0,"                    ","                    "
113,75,"G/BURG    ","GLUECKSBURG/11                                    ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9406960             ","                         ",0,"                              ",0,"                    ","                    "
115,77,"          ","VIKING MERLIN 2                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9596313             ","                         ",0,"                              ",0,"                    ","                    "
116,78,"GLUECKS   ","GLUECKSBURG                                       ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9406960             ","                         ",0,"                              ",0,"                    ","                    "
117,79,"NEF       ","NEFELI                                            ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9491628             ","                         ",0,"                              ",0,"                    ","                    "
118,80,"VM        ","VIKING MERLIN                                     ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9596313             ","                         ",0,"                              ",0,"                    ","                    "
119,81,"HM        ","HANSA MEERSBURG                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9373462             ","                         ",0,"                              ",0,"                    ","                    "
121,82,"SBR       ","SEABOARD RANGER                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9383297             ","                         ",0,"                              ",0,"                    ","                    "
123,83,"HH        ","HERMANN HESSE                                     ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9323493             ","                         ",0,"                              ",0,"                    ","                    "
125,84,"HR        ","HANSA RONNEBURG                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9256391             ","                         ",0,"                              ",0,"                    ","                    "
126,85,"          ","VLIET TRADER                                      ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9395109             ","                         ",0,"                              ",0,"                    ","                    "
129,86,"MNC       ","STADT CADIZ                                       ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9445904             ","                         ",0,"                              ",0,"                    ","                    "
130,87,"HAR       ","HANSA ARENDAL                                     ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9221059             ","                         ",0,"                              ",0,"                    ","                    "
131,88,"          ","                                                  ",0,"0","0","0.00","0.00","0.00","                              ","                              ","3740204             ","                         ",0,"                              ",0,"                    ","                    "
134,89,"HAU       ","HANSA AUGSBURG                                    ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9373474             ","                         ",0,"                              ",0,"                    ","                    "
135,90,"HFB       ","HANSA FREYBURG                                    ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9256389             ","                         ",0,"                              ",0,"                    ","                    "
136,91,"MRV       ","MARIVIA                                           ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9228576             ","                         ",0,"                              ",0,"                    ","                    "
138,92,"CBA       ","CONTI ARABELLA                                    ",0,"0","0","0.00","0.00","0.00","                              ","                              "," 9357119            ","                         ",0,"                              ",0,"                    ","                    "
142,93,"CLK       ","CONTI ELEKTRA                                     ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9357092             ","                         ",0,"                              ",0,"                    ","                    "
145,94,"VSG       ","VEGA SAGITTARIUS                                  ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9491616             ","                         ",0,"                              ",0,"                    ","                    "
147,95,"CFS       ","CFS PAFILLIA                                      ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
148,96,"VARAMO    ","VARAMO                                            ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9395044             ","                         ",0,"                              ",0,"                    ","                    "
153,97,"ASA       ","AS ANGELINA                                       ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9357092             ","                         ",0,"                              ",0,"                    ","                    "
155,99,"PLN       ","POLYNESIA                                         ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9477347             ","                         ",0,"                              ",0,"                    ","                    "
156,100,"LNA       ","LENA                                              ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9347750             ","                         ",0,"                              ",0,"                    ","                    "
157,101,"SAO       ","SAN AMERIGO                                       ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9344693             ","                         ",0,"                              ",0,"                    ","                    "
159,103,"CTN       ","CONSTANTIN                                        ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9325441             ","                         ",0,"                              ",0,"                    ","                    "
