"Rec No","Id","Date","Time","Comments"
245,244,78027,3177122,"TDCC 309 B/L Export - Customs                                                   "
246,245,78027,5402285,"TDCC 309 B/L Export - Customs                                                   "
247,246,78027,5425656,"TDCC 309 B/L Export - Customs                                                   "
248,247,78031,3980238,"TDCC 309 B/L Export - Customs                                                   "
249,248,78031,3996505,"TDCC 309 B/L Export - Customs                                                   "
250,249,78031,4018665,"TDCC 309 B/L Export - Customs                                                   "
251,250,78031,4064185,"TDCC 309 B/L Export - Customs                                                   "
252,251,78031,4089043,"TDCC 309 B/L Export - Customs                                                   "
253,252,78032,5102251,"TDCC 309 B/L Export - Customs                                                   "
254,253,78032,5122821,"TDCC 309 B/L Export - Customs                                                   "
255,254,78033,4300508,"TDCC 309 B/L Export - Customs                                                   "
256,255,78033,4847139,"TDCC 309 B/L Export - Customs                                                   "
257,256,78033,4957457,"TDCC 309 B/L Export - Customs                                                   "
258,257,78037,6016710,"TDCC 309 B/L Export - Customs                                                   "
259,258,78040,5259493,"TDCC 309 B/L Export - Customs                                                   "
260,259,78040,5289500,"TDCC 309 B/L Export - Customs                                                   "
261,260,78040,5349368,"TDCC 309 B/L Export - Customs                                                   "
262,261,78040,5449511,"TDCC 309 B/L Export - Customs                                                   "
263,262,78040,5556782,"TDCC 309 B/L Export - Customs                                                   "
264,263,78040,5580304,"TDCC 309 B/L Export - Customs                                                   "
265,264,78044,5237665,"TDCC 309 B/L Export - Customs                                                   "
266,265,78044,5249375,"TDCC 309 B/L Export - Customs                                                   "
267,266,78048,3785967,"TDCC 309 B/L Export - Customs                                                   "
268,267,78048,3838193,"TDCC 309 B/L Export - Customs                                                   "
269,268,78051,5373352,"TDCC 309 B/L Export - Customs                                                   "
270,269,78053,3969954,"TDCC 309 B/L Export - Customs                                                   "
271,270,78053,4043019,"TDCC 309 B/L Export - Customs                                                   "
272,271,78053,4094013,"TDCC 309 B/L Export - Customs                                                   "
273,272,78053,4114515,"TDCC 309 B/L Export - Customs                                                   "
274,273,78060,3286255,"TDCC 309 B/L Export - Customs                                                   "
275,274,78060,3571745,"TDCC 309 B/L Export - Customs                                                   "
276,275,78060,3617710,"TDCC 309 B/L Export - Customs                                                   "
277,276,78068,3766584,"TDCC 309 B/L Export - Customs                                                   "
278,277,78068,3777974,"TDCC 309 B/L Export - Customs                                                   "
279,278,78068,3778665,"TDCC 309 B/L Export - Customs                                                   "
280,279,78068,3823088,"TDCC 309 B/L Export - Customs                                                   "
281,280,78068,3899994,"TDCC 309 B/L Export - Customs                                                   "
282,281,78068,3912099,"TDCC 309 B/L Export - Customs                                                   "
283,282,78068,3951583,"TDCC 309 B/L Export - Customs                                                   "
284,283,78068,3971050,"TDCC 309 B/L Export - Customs                                                   "
285,284,78068,4008685,"TDCC 309 B/L Export - Customs                                                   "
286,285,78074,4208013,"TDCC 309 B/L Export - Customs                                                   "
287,286,78074,4347882,"TDCC 309 B/L Export - Customs                                                   "
288,287,78081,3744462,"TDCC 309 B/L Export - Customs                                                   "
289,288,78081,3794006,"TDCC 309 B/L Export - Customs                                                   "
290,289,78081,3994847,"TDCC 309 B/L Export - Customs                                                   "
291,290,78081,4003377,"TDCC 309 B/L Export - Customs                                                   "
292,291,78089,5007332,"TDCC 309 B/L Export - Customs                                                   "
293,292,78089,5056046,"TDCC 309 B/L Export - Customs                                                   "
294,293,78089,5084387,"TDCC 309 B/L Export - Customs                                                   "
295,294,78089,5143226,"TDCC 309 B/L Export - Customs                                                   "
296,295,78089,5163949,"TDCC 309 B/L Export - Customs                                                   "
297,296,78089,5296173,"TDCC 309 B/L Export - Customs                                                   "
298,297,78089,5335864,"TDCC 309 B/L Export - Customs                                                   "
299,298,78089,5357996,"TDCC 309 B/L Export - Customs                                                   "
300,299,78094,5027639,"TDCC 309 B/L Export - Customs                                                   "
301,300,78095,5558296,"TDCC 309 B/L Export - Customs                                                   "
302,301,78096,4238120,"TDCC 309 B/L Export - Customs                                                   "
303,302,78096,4329481,"TDCC 309 B/L Export - Customs                                                   "
304,303,78096,4355669,"TDCC 309 B/L Export - Customs                                                   "
305,304,78096,4391929,"TDCC 309 B/L Export - Customs                                                   "
